species,alive,dead,alv_prop,ded_prop,total_prop,site,uid,date,factor,loc_count,geometry,lon_gda94,lat_gda94,count,avg_alive,avg_dead,avg_total,cor_av_liv,cor_av_ded,cor_av_tot
Corymbia terminalis,6.0,0.0,2.8301886792452833,0.0,2.2556390977443606,lim01,91,20120529,0.1,7.0,POINT (135.7442136556169 -16.31385667595235),135.74421365561693,-16.313856675952348,7.0,30.285714285714285,7.714285714285714,38.0,3.0285714285714285,0.7714285714285715,3.8000000000000003
E. chlorostachys,27.0,0.0,12.735849056603774,0.0,10.150375939849624,lim01,91,20120529,0.1,7.0,POINT (135.7442136556169 -16.31385667595235),135.74421365561693,-16.313856675952348,7.0,30.285714285714285,7.714285714285714,38.0,3.0285714285714285,0.7714285714285715,3.8000000000000003
Erythroxylum ellipticum,1.0,0.0,0.4716981132075472,0.0,0.37593984962406013,lim01,91,20120529,0.1,7.0,POINT (135.7442136556169 -16.31385667595235),135.74421365561693,-16.313856675952348,7.0,30.285714285714285,7.714285714285714,38.0,3.0285714285714285,0.7714285714285715,3.8000000000000003
Eucalyptus leucophloia,147.0,54.0,69.33962264150944,100.0,75.56390977443608,lim01,91,20120529,0.1,7.0,POINT (135.7442136556169 -16.31385667595235),135.74421365561693,-16.313856675952348,7.0,30.285714285714285,7.714285714285714,38.0,3.0285714285714285,0.7714285714285715,3.8000000000000003
Eucalyptus tectifica,12.0,0.0,5.660377358490567,0.0,4.511278195488721,lim01,91,20120529,0.1,7.0,POINT (135.7442136556169 -16.31385667595235),135.74421365561693,-16.313856675952348,7.0,30.285714285714285,7.714285714285714,38.0,3.0285714285714285,0.7714285714285715,3.8000000000000003
Lysiphyllum cunninghamii,10.0,0.0,4.716981132075472,0.0,3.7593984962406015,lim01,91,20120529,0.1,7.0,POINT (135.7442136556169 -16.31385667595235),135.74421365561693,-16.313856675952348,7.0,30.285714285714285,7.714285714285714,38.0,3.0285714285714285,0.7714285714285715,3.8000000000000003
P. pubescens,2.0,0.0,0.9433962264150944,0.0,0.7518796992481203,lim01,91,20120529,0.1,7.0,POINT (135.7442136556169 -16.31385667595235),135.74421365561693,-16.313856675952348,7.0,30.285714285714285,7.714285714285714,38.0,3.0285714285714285,0.7714285714285715,3.8000000000000003
Terminalia canescens,1.0,0.0,0.4716981132075472,0.0,0.37593984962406013,lim01,91,20120529,0.1,7.0,POINT (135.7442136556169 -16.31385667595235),135.74421365561693,-16.313856675952348,7.0,30.285714285714285,7.714285714285714,38.0,3.0285714285714285,0.7714285714285715,3.8000000000000003
Alphitonia excelsa,2.0,0.0,0.9478672985781991,0.0,0.8771929824561403,lim02,92,20120529,0.0,7.0,POINT (135.6938379612388 -16.35727345668779),135.69383796123878,-16.357273456687793,,,,,,,
Atalaya hemiglauca,3.0,0.0,1.4218009478672986,0.0,1.3157894736842104,lim02,92,20120529,0.0,7.0,POINT (135.6938379612388 -16.35727345668779),135.69383796123878,-16.357273456687793,,,,,,,
Bauhinia cunninghamii,31.0,4.0,14.691943127962084,23.52941176470588,15.350877192982457,lim02,92,20120529,0.0,7.0,POINT (135.6938379612388 -16.35727345668779),135.69383796123878,-16.357273456687793,,,,,,,
Calytrix exstipulata,2.0,0.0,0.9478672985781991,0.0,0.8771929824561403,lim02,92,20120529,0.0,7.0,POINT (135.6938379612388 -16.35727345668779),135.69383796123878,-16.357273456687793,,,,,,,
Corymbia ferruginea,1.0,0.0,0.47393364928909953,0.0,0.43859649122807015,lim02,92,20120529,0.0,7.0,POINT (135.6938379612388 -16.35727345668779),135.69383796123878,-16.357273456687793,,,,,,,
E. chlorostachys,25.0,5.0,11.848341232227488,29.411764705882355,13.157894736842104,lim02,92,20120529,0.0,7.0,POINT (135.6938379612388 -16.35727345668779),135.69383796123878,-16.357273456687793,,,,,,,
Erythroxylum ellipticum,19.0,0.0,9.004739336492891,0.0,8.333333333333332,lim02,92,20120529,0.0,7.0,POINT (135.6938379612388 -16.35727345668779),135.69383796123878,-16.357273456687793,,,,,,,
Eucalyptus leucophloia,1.0,0.0,0.47393364928909953,0.0,0.43859649122807015,lim02,92,20120529,0.0,7.0,POINT (135.6938379612388 -16.35727345668779),135.69383796123878,-16.357273456687793,,,,,,,
P. pubescens,21.0,2.0,9.95260663507109,11.76470588235294,10.087719298245613,lim02,92,20120529,0.0,7.0,POINT (135.6938379612388 -16.35727345668779),135.69383796123878,-16.357273456687793,,,,,,,
Terminalia canescens,106.0,6.0,50.23696682464455,35.294117647058826,49.122807017543856,lim02,92,20120529,0.0,7.0,POINT (135.6938379612388 -16.35727345668779),135.69383796123878,-16.357273456687793,,,,,,,
Bauhinia cunninghamii,3.0,0.0,1.7964071856287425,0.0,1.675977653631285,lim03,93,20120530,0.25,7.0,POINT (135.6878443930331 -16.45019223373671),135.68784439303315,-16.450192233736708,7.0,23.857142857142858,1.7142857142857142,25.571428571428573,5.964285714285714,0.42857142857142855,6.392857142857143
Corymbia terminalis,19.0,1.0,11.377245508982035,8.333333333333332,11.1731843575419,lim03,93,20120530,0.25,7.0,POINT (135.6878443930331 -16.45019223373671),135.68784439303315,-16.450192233736708,7.0,23.857142857142858,1.7142857142857142,25.571428571428573,5.964285714285714,0.42857142857142855,6.392857142857143
E. chlorostachys,53.0,7.0,31.736526946107784,58.333333333333336,33.5195530726257,lim03,93,20120530,0.25,7.0,POINT (135.6878443930331 -16.45019223373671),135.68784439303315,-16.450192233736708,7.0,23.857142857142858,1.7142857142857142,25.571428571428573,5.964285714285714,0.42857142857142855,6.392857142857143
Eucalyptus chlorophylla,92.0,4.0,55.08982035928144,33.33333333333333,53.63128491620112,lim03,93,20120530,0.25,7.0,POINT (135.6878443930331 -16.45019223373671),135.68784439303315,-16.450192233736708,7.0,23.857142857142858,1.7142857142857142,25.571428571428573,5.964285714285714,0.42857142857142855,6.392857142857143
Brachychiton diversifolius,1.0,0.0,0.6622516556291391,0.0,0.5847953216374269,lim04,94,20120530,0.1,7.0,POINT (135.6882506083993 -16.48567079259439),135.68825060839927,-16.485670792594394,7.0,21.571428571428573,2.857142857142857,24.428571428571427,2.1571428571428575,0.28571428571428575,2.442857142857143
Corymbia ferruginea,44.0,5.0,29.13907284768212,25.0,28.654970760233915,lim04,94,20120530,0.1,7.0,POINT (135.6882506083993 -16.48567079259439),135.68825060839927,-16.485670792594394,7.0,21.571428571428573,2.857142857142857,24.428571428571427,2.1571428571428575,0.28571428571428575,2.442857142857143
Corymbia grandifolia,22.0,1.0,14.56953642384106,5.0,13.450292397660817,lim04,94,20120530,0.1,7.0,POINT (135.6882506083993 -16.48567079259439),135.68825060839927,-16.485670792594394,7.0,21.571428571428573,2.857142857142857,24.428571428571427,2.1571428571428575,0.28571428571428575,2.442857142857143
E. chlorostachys,2.0,0.0,1.3245033112582782,0.0,1.1695906432748537,lim04,94,20120530,0.1,7.0,POINT (135.6882506083993 -16.48567079259439),135.68825060839927,-16.485670792594394,7.0,21.571428571428573,2.857142857142857,24.428571428571427,2.1571428571428575,0.28571428571428575,2.442857142857143
